timestamp,close,MACD,ADX,EMA
2024-08-16 02:14:00+00:00,57409.4505,"MACDVal(macd=7.10346760918037, signal=23.106229409806392, histogram=-16.002761800626022)","ADXVal(adx=23.244155561743884, plus_di=41.72927601664792, minus_di=43.01003321433852)",57419.36229017186
2024-08-16 02:15:00+00:00,57417.3,"MACDVal(macd=6.464501901122276, signal=19.77788390806957, histogram=-13.313382006947293)","ADXVal(adx=22.45708635099741, plus_di=48.552066571511205, minus_di=37.97408328409596)",57419.16588158407
2024-08-16 02:16:00+00:00,57417.3,"MACDVal(macd=5.890218205044221, signal=17.0003507674645, histogram=-11.11013256242028)","ADXVal(adx=21.726236369589973, plus_di=43.976907681718515, minus_di=34.39570903584299)",57418.988178576066
2024-08-16 02:17:00+00:00,57407.7765,"MACDVal(macd=4.613446440831467, signal=14.522969902137893, histogram=-9.909523461306426)","ADXVal(adx=20.789179255357045, plus_di=42.85804780174509, minus_di=36.06481250362528)",57417.92039966406
2024-08-16 02:18:00+00:00,57407.7765,"MACDVal(macd=3.5605517943258747, signal=12.33048628057549, histogram=-8.769934486249616)","ADXVal(adx=19.919054792140752, plus_di=42.85804780174509, minus_di=36.06481250362528)",57416.95431398177
2024-08-16 02:19:00+00:00,57388.219,"MACDVal(macd=1.1349157972654211, signal=10.091372183913478, histogram=-8.956456386648057)","ADXVal(adx=18.557935985122068, plus_di=40.40943608776173, minus_di=39.71762585068985)",57414.217617412076
2024-08-16 02:20:00+00:00,57388.219,"MACDVal(macd=-0.7784447793092113, signal=7.91740879126894, histogram=-8.695853570578151)","ADXVal(adx=17.294039950033287, plus_di=40.40943608776173, minus_di=39.71762585068985)",57411.74155861093
2024-08-16 02:21:00+00:00,57424.4,"MACDVal(macd=0.6175883276955574, signal=6.457444698554264, histogram=-5.839856370858707)","ADXVal(adx=17.318189335930416, plus_di=48.76686595832859, minus_di=34.1473266140286)",57412.9471244575
2024-08-16 02:22:00+00:00,57417.5265,"MACDVal(macd=1.1559950260270853, signal=5.397154764048828, histogram=-4.241159738021743)","ADXVal(adx=17.12765312406693, plus_di=47.73757080030311, minus_di=35.53724242114924)",57413.38325546155
2024-08-16 02:23:00+00:00,57474.585,"MACDVal(macd=6.1163251170219155, signal=5.5409888346434455, histogram=0.57533628237847)","ADXVal(adx=18.076895125990596, plus_di=56.03348453881318, minus_di=29.896213059427854)",57419.21199303664
2024-08-16 02:24:00+00:00,57544.15,"MACDVal(macd=15.482266639970476, signal=7.529244395708852, histogram=7.953022244261624)","ADXVal(adx=19.92850972582823, plus_di=63.61638861407216, minus_di=24.740013768554448)",57431.11085084268
2024-08-16 02:25:00+00:00,57544.15,"MACDVal(macd=22.643818925585947, signal=10.55215930168427, histogram=12.091659623901677)","ADXVal(adx=21.647866139963178, plus_di=63.61638861407216, minus_di=24.740013768554448)",57441.87648409576
2024-08-16 02:26:00+00:00,57544.15,"MACDVal(macd=27.99667249493359, signal=14.041061940334135, histogram=13.955610554599456)","ADXVal(adx=23.244411381659912, plus_di=63.61638861407216, minus_di=24.740013768554448)",57451.61681894378
2024-08-16 02:27:00+00:00,57544.15,"MACDVal(macd=31.87145324020821, signal=17.60714020030895, histogram=14.26431303989926)","ADXVal(adx=24.72691767752117, plus_di=63.61638861407216, minus_di=24.740013768554444)",57460.4295028539
2024-08-16 02:28:00+00:00,57765.21,"MACDVal(macd=52.17845863049297, signal=24.52140388634576, histogram=27.65705474414721)","ADXVal(adx=27.922904487764082, plus_di=79.05589540151226, minus_di=14.24150644751664)",57489.45621686781
2024-08-16 02:29:00+00:00,57774.667,"MACDVal(macd=68.24828383791464, signal=33.26677987665954, histogram=34.9815039612551)","ADXVal(adx=30.93536422481099, plus_di=79.45750920053126, minus_di=13.968418358157429)",57516.619148594684
2024-08-16 02:30:00+00:00,57977.3465,"MACDVal(macd=96.22900975441735, signal=45.85922585221111, histogram=50.36978390220624)","ADXVal(adx=34.419222830128795, plus_di=85.75985630471183, minus_di=9.682968173519004)",57560.49794396662
2024-08-16 02:31:00+00:00,58239.9,"MACDVal(macd=137.9990427687153, signal=64.28718923551196, histogram=73.71185353320334)","ADXVal(adx=38.102945740725445, plus_di=90.02789763580493, minus_di=6.7807988375513695)",57625.20290168408
2024-08-16 02:32:00+00:00,58340.495,"MACDVal(macd=177.1768858110372, signal=86.86512855061702, histogram=90.3117572604202)","ADXVal(adx=41.77399878576218, plus_di=89.96046923563885, minus_di=4.985775237169415)",57693.32595866655
2024-08-16 02:33:00+00:00,58349.065,"MACDVal(macd=206.5363139973415, signal=110.79936563996192, histogram=95.73694835737957)","ADXVal(adx=45.182833756153435, plus_di=82.51808324904647, minus_di=4.573304470034854)",57755.7772959364
2024-08-16 02:34:00+00:00,58243.86,"MACDVal(macd=218.79260315758438, signal=132.39801314348642, histogram=86.39459001409796)","ADXVal(adx=47.887790361817494, plus_di=74.93698168149272, minus_di=6.937992715273491)",57802.26136299007
2024-08-16 02:35:00+00:00,58144.2355,"MACDVal(macd=217.95449234971602, signal=149.50930898473234, histogram=68.44518336498368)","ADXVal(adx=49.056956396393964, plus_di=68.48335635210668, minus_di=14.902709873020598)",57834.83032841959
2024-08-16 02:36:00+00:00,58218.15,"MACDVal(macd=220.71035433956422, signal=163.74951805569873, histogram=56.96083628386549)","ADXVal(adx=50.14261057135783, plus_di=64.09824342962159, minus_di=13.948462459850134)",57871.3369638082
2024-08-16 02:37:00+00:00,58162.55,"MACDVal(macd=215.91896012260986, signal=174.18340646908098, histogram=41.73555365352888)","ADXVal(adx=50.419546487606716, plus_di=60.937354937262334, minus_di=18.191937790950725)",57899.07153868362
2024-08-16 02:38:00+00:00,58134.645,"MACDVal(macd=207.47836396833736, signal=180.84239796893226, histogram=26.6359659994051)","ADXVal(adx=50.31821018376136, plus_di=59.355325157332466, minus_di=20.31580402679763)",57921.507106428035
2024-08-16 02:39:00+00:00,58248.65,"MACDVal(macd=207.5953514375724, signal=186.1929886626603, histogram=21.402362774912092)","ADXVal(adx=50.68089005629765, plus_di=63.521991553969016, minus_di=18.23314059581235)",57952.66357248251
2024-08-16 02:41:00+00:00,58193.52,"MACDVal(macd=200.92341453810513, signal=189.1390738377493, histogram=11.784340700355841)","ADXVal(adx=51.01766422365277, plus_di=60.30262751047568, minus_di=17.309065078056495)",57975.602279865125
