date,Open,High,Low,Close,Volume
2022-09-01,20048.27,20205.53,19561.01,20133.65,30182031010.0
2022-09-02,20132.67,20444.0,19755.0,19953.74,29123998928.0
2022-09-03,19953.4,20053.9,19655.0,19835.47,23613051457.0
2022-09-04,19833.59,20026.2,19588.27,20004.73,25245861652.0
2022-09-05,20003.85,20060.0,19633.11,19794.58,28813460025.0
2022-09-06,19794.59,20179.86,18663.25,18790.91,43403978910.0
2022-09-07,18790.77,19466.09,18527.0,19293.52,35239757134.0
2022-09-08,19293.03,19460.7,19014.43,19321.87,32194477850.0
2022-09-09,19322.56,21616.21,19294.49,21364.5,48469528171.0
2022-09-10,21366.61,21815.15,21127.1,21651.52,36913738894.0
2022-09-11,21656.03,21865.66,21356.37,21831.72,34493951963.0
2022-09-12,21830.16,22490.05,21555.0,22402.71,50212088965.0
2022-09-13,22402.58,22800.0,19855.0,20174.78,51091116622.0
2022-09-14,20174.78,20545.0,19625.0,20227.77,37872380889.0
2022-09-15,20227.7,20336.42,19500.0,19703.67,36389011503.0
2022-09-16,19703.65,19890.95,19305.0,19801.04,30123362273.0
2022-09-17,19800.26,20183.14,19748.89,20113.37,24957448100.0
2022-09-18,20113.37,20119.08,19335.57,19417.64,31254779144.0
2022-09-19,19417.56,19689.62,18255.0,19540.38,40177002624.0
2022-09-20,19538.31,19638.46,18722.0,18876.91,36791346508.0
2022-09-21,18876.14,19949.97,18153.13,18462.64,46363793975.0
2022-09-22,18462.66,19521.8,18358.63,19401.25,41135767926.0
2022-09-23,19399.93,19500.0,18529.0,19286.01,38896078052.0
2022-09-24,19286.03,19311.4,18808.13,18923.2,26149643168.0
2022-09-25,18920.93,19184.3,18619.88,18808.61,23359966112.0
2022-09-26,18806.3,19320.86,18681.02,19228.0,44148798321.0
2022-09-27,19226.94,20383.15,18821.55,19077.57,58571439619.0
2022-09-28,19077.56,19773.67,18487.0,19412.07,53071298734.0
2022-09-29,19412.37,19646.66,18845.3,19595.57,41037843771.0
2022-09-30,19595.59,20182.72,19154.38,19426.11,43975248085.0
2022-10-01,19423.57,19486.43,19160.0,19315.27,18719537670.0
2022-10-02,19315.26,19398.94,18923.81,19059.17,20765955327.0
2022-10-03,19059.1,19717.67,18958.29,19633.46,30484729489.0
2022-10-04,19632.43,20479.43,19495.32,20345.19,35887278685.0
2022-10-05,20345.27,20371.15,19750.0,20161.62,33223790572.0
2022-10-06,20162.15,20455.79,19855.19,19965.64,34711412966.0
2022-10-07,19963.75,20065.26,19325.0,19533.05,29227315390.0
2022-10-08,19531.68,19628.78,19250.0,19419.39,16437423167.0
2022-10-09,19421.49,19563.28,19321.0,19443.47,16837262532.0
2022-10-10,19442.7,19528.04,19028.08,19132.83,27425022774.0
2022-10-11,19130.8,19265.69,18855.19,19058.11,28711532910.0
2022-10-12,19058.42,19235.26,18971.51,19155.92,24950173846.0
2022-10-13,19153.97,19509.23,18131.0,19378.65,44219840004.0
2022-10-14,19375.55,19954.14,19076.83,19178.0,38452356727.0
2022-10-15,19179.15,19229.12,18983.0,19070.24,16192235532.0
2022-10-16,19070.62,19425.49,19065.23,19264.44,17988916650.0
2022-10-17,19261.62,19679.46,19154.72,19550.4,27472552998.0
2022-10-18,19550.39,19702.73,19091.77,19328.76,30580012344.0
2022-10-19,19328.75,19361.0,19062.1,19124.18,22425387184.0
2022-10-20,19123.77,19349.04,18905.0,19042.48,24493974420.0
2022-10-21,19043.66,19254.52,18659.0,19166.45,32459287866.0
2022-10-22,19164.92,19257.66,19110.46,19209.1,16104440957.0
2022-10-23,19209.09,19698.1,19070.92,19572.44,22128794335.0
2022-10-24,19572.2,19603.57,19159.35,19330.41,30202235805.0
2022-10-25,19332.11,20420.88,19240.76,20086.28,47761524910.0
2022-10-26,20086.27,21022.81,20055.85,20775.4,58895950537.0
2022-10-27,20773.59,20878.17,20196.01,20296.97,49625110402.0
2022-10-28,20295.77,20755.09,20000.0,20597.91,43994715910.0
2022-10-29,20597.34,21080.0,20561.2,20823.53,40369840645.0
2022-10-30,20822.38,20939.35,20523.92,20630.68,31486345556.0
