date,Open,High,Low,Close,Volume
2024-05-01 00:00:00+00:00,126.63,127.54,126.43,126.43,9480.3502193
2024-05-01 00:15:00+00:00,126.47,127.36,125.68,125.92,18365.765105339993
2024-05-01 00:30:00+00:00,125.92,126.13,124.44,125.0,31545.380960979994
2024-05-01 00:45:00+00:00,124.99,125.88,124.75,125.04,8946.2682124
2024-05-01 01:00:00+00:00,125.02,125.78,124.38,124.55,12497.72748316
2024-05-01 01:15:00+00:00,124.53,127.06,124.45,126.2,9963.605559160002
2024-05-01 01:30:00+00:00,126.1,127.72,126.09,126.79,11092.429917349997
2024-05-01 01:45:00+00:00,126.79,127.5,126.25,126.79,6692.088676740001
2024-05-01 02:00:00+00:00,127.18,127.27,123.39,124.01,37194.24929416998
2024-05-01 02:15:00+00:00,124.02,126.03,124.02,125.14,10865.63866389
2024-05-01 02:30:00+00:00,125.16,126.03,124.47,124.71,24724.14970732999
2024-05-01 02:45:00+00:00,124.7,125.78,124.64,124.97,10378.161010040001
2024-05-01 03:00:00+00:00,124.95,125.66,124.64,124.98,8525.83908144
2024-05-01 03:15:00+00:00,125.0,125.67,124.6,124.78,22349.53120299
2024-05-01 03:30:00+00:00,124.77,126.2,124.73,125.51,15898.0885478
2024-05-01 03:45:00+00:00,125.48,126.8,125.22,126.07,24383.466542770002
2024-05-01 04:00:00+00:00,126.16,127.04,126.01,126.32,10119.144122110001
2024-05-01 04:15:00+00:00,126.33,126.85,125.75,125.89,8024.638967520001
2024-05-01 04:30:00+00:00,125.87,126.74,125.52,125.75,5589.092439849999
2024-05-01 04:45:00+00:00,125.75,126.68,125.6,125.82,5781.1946747599995
2024-05-01 05:00:00+00:00,125.85,127.01,125.64,125.73,8180.686227880003
2024-05-01 05:15:00+00:00,125.75,126.51,124.61,124.76,9541.22971196
2024-05-01 05:30:00+00:00,124.74,126.05,124.68,124.96,6520.08306286
2024-05-01 05:45:00+00:00,124.94,125.6,124.59,125.03,4107.813475849999
2024-05-01 06:00:00+00:00,125.06,125.74,124.48,124.58,4603.128246699999
2024-05-01 06:15:00+00:00,125.13,125.25,123.31,123.55,26732.140508399996
2024-05-01 06:30:00+00:00,123.54,124.86,123.18,123.91,12736.11004363
2024-05-01 06:45:00+00:00,123.94,124.55,122.42,122.74,16966.332830609994
2024-05-01 07:00:00+00:00,122.74,123.87,120.04,121.25,61738.05380456004
2024-05-01 07:15:00+00:00,121.19,122.31,118.06,120.37,94456.09092416997
2024-05-01 07:30:00+00:00,120.36,121.7,119.57,120.65,38736.64617935
2024-05-01 07:45:00+00:00,120.66,121.66,120.0,120.44,20354.965518
2024-05-01 08:00:00+00:00,120.44,121.18,118.91,120.51,36643.63245133
2024-05-01 08:15:00+00:00,120.82,120.91,118.4,119.63,28365.649641130003
2024-05-01 08:30:00+00:00,119.63,120.95,119.35,119.91,21621.419615859995
2024-05-01 08:45:00+00:00,119.94,121.46,119.87,121.46,19188.585671060002
2024-05-01 09:00:00+00:00,120.97,122.73,120.64,121.7,27658.51622901
2024-05-01 09:15:00+00:00,121.7,122.31,119.95,121.47,33260.09576285999
