date,Open,High,Low,Close,Volume
2024-05-01 00:00:00+00:00,60610.0,60991.0,60541.35,60541.35,160.99397948
2024-05-01 00:15:00+00:00,60743.0,60875.0,60322.44,60370.84,116.95386036999997
2024-05-01 00:30:00+00:00,60367.51,60581.0,60015.99,60291.27,192.2096822299999
2024-05-01 00:45:00+00:00,60294.5,60550.0,60115.63,60173.03,195.5136730499999
2024-05-01 01:00:00+00:00,60175.44,60475.0,59803.38,59828.94,261.25188933000015
2024-05-01 01:15:00+00:00,59825.78,60430.0,59792.22,60231.52,222.78608477
2024-05-01 01:30:00+00:00,60237.86,60529.0,60170.1,60176.34,134.91182521
2024-05-01 01:45:00+00:00,60174.09,60391.0,59967.8,60063.2,131.49623406
2024-05-01 02:00:00+00:00,60050.0,60330.0,59507.76,59508.9,284.7526594999999
2024-05-01 02:15:00+00:00,59511.98,60033.0,59511.94,59670.81,191.82836907999993
2024-05-01 02:30:00+00:00,59658.0,60109.0,59580.05,59748.37,133.80287872
2024-05-01 02:45:00+00:00,59742.14,60157.0,59742.14,59858.25,101.61899234
2024-05-01 03:00:00+00:00,59856.5,60292.0,59829.66,59989.78,111.33543945999999
2024-05-01 03:15:00+00:00,59991.28,60318.0,59925.2,59936.28,80.99430294
2024-05-01 03:30:00+00:00,59939.0,60428.0,59930.04,60104.65,78.26955421999999
2024-05-01 03:45:00+00:00,60104.64,60505.0,60043.5,60170.86,121.44277724999999
2024-05-01 04:00:00+00:00,60168.0,60530.0,60144.17,60242.19,108.62276535999999
2024-05-01 04:15:00+00:00,60243.59,60516.0,60120.04,60133.12,87.56652833999998
2024-05-01 04:30:00+00:00,60133.12,60519.0,60120.03,60494.0,115.10824938999998
2024-05-01 04:45:00+00:00,60212.8,60542.0,60137.06,60512.0,66.0365337
2024-05-01 05:00:00+00:00,60208.32,60552.0,60057.39,60088.42,58.742259189999984
2024-05-01 05:15:00+00:00,60091.83,60407.0,59920.84,59962.0,78.27543673999999
2024-05-01 05:30:00+00:00,59961.9,60428.0,59916.01,59960.04,147.42258365999987
2024-05-01 05:45:00+00:00,59960.94,60265.0,59866.0,59970.19,88.15718918999998
2024-05-01 06:00:00+00:00,60266.0,60321.0,59814.6,59852.01,104.68237160999998
2024-05-01 06:15:00+00:00,59852.62,60222.0,59645.21,59654.06,119.76481436999997
